aaa,9884971,7835,5,7
aab,9498402,10212,67,231
aac,9874936,8613,24,66
aad,9958737,8548,227,322
aae,9510252,9237,110,247
aaf,9962820,8996,223,366
aag,9074707,11266,145,276
aba,9836020,9211,754,1300
abb,9813193,9816,576,1105
abc,9996272,9349,16,39
abd,9990146,9069,215,386
abe,9946101,8965,7,22
abf,9560680,10135,105,216
abg,9750499,9734,151,247
aca,9920667,9638,107,148
acb,9749553,7416,7,25
acc,9800015,8816,53,126
acd,9839662,8899,19,63
ace,9844873,8524,82,198
acf,9644508,7676,63,95
acg,9756988,8275,272,417
ada,9944481,9354,33,102
adb,9964403,8982,27,86
adc,9974953,7738,13,49
add,9750329,8914,86,208
ade,9884618,9689,281,421
adf,9604129,9962,100,194
adg,9878007,10099,62,134
aea,9920057,9160,169,315
aeb,9949523,8285,8,34
aec,9855848,7798,5,9
aed,9935130,8282,52,159
aee,9993657,8378,59,176
aef,9904322,10055,42,111
aeg,9666164,8573,61,112
afa,9809147,10614,105,189
afb,9991727,8639,228,441
afc,9862471,9387,40,87
afd,9768918,9381,162,274
afe,9795414,9167,12,40
aff,9714617,8505,70,135
afg,9995253,8520,72,203
aga,9989378,7584,16,46
agb,9684090,8854,83,146
agc,9810511,7516,12,21
agd,9818537,7358,80,139
age,9298341,10174,276,482
agf,9998992,8036,63,128
agg,9775877,8608,97,192
baa,9920268,7501,23,83
bab,9784183,8730,43,102
bac,9983301,9534,136,232
bad,9690055,9643,126,297
bae,9868075,10097,167,300
baf,9887822,8451,30,82
bag,9918482,8855,213,350
bba,9846618,10732,239,424
bbb,9992543,8902,56,105
bbc,9936620,6631,19,91
bbd,9784048,9869,17,89
bbe,9996587,11602,464,751
bbf,9365202,7621,138,241
bbg,9673428,10990,108,167
bca,9911643,9360,10,28
bcb,9987747,9323,82,120
bcc,9928945,8921,270,546
bcd,9992542,9486,42,123
bce,9958571,7343,166,528
bcf,9956062,8486,16,45
bcg,9649605,7323,19,102
bda,9750420,8872,58,102
bdb,9487914,7562,137,288
bdc,9902909,7228,85,229
bdd,9957709,8279,76,130
bde,9811526,7937,44,101
bdf,9933189,8817,97,293
bdg,9652064,8588,99,151
bea,9998147,8999,62,193
beb,9650951,8593,348,637
bec,9820696,9816,290,643
bed,9997562,8198,146,296
bee,9836454,9735,208,338
bef,9518184,9939,177,447
beg,9995668,7711,199,307
bfa,9956259,8544,58,135
bfb,9954482,10159,245,433
bfc,9976402,8027,95,169
bfd,9888008,10413,94,273
bfe,9796034,9537,408,918
bff,9704141,8328,134,224
bfg,9939349,9478,177,342
bga,9520090,8614,300,483
bgb,9962293,9120,190,269
bgc,9819568,8504,101,174
bgd,9756387,8625,111,267
bge,9545175,9029,67,131
bgf,9971908,9120,391,749
bgg,9965190,9160,41,74
caa,9977768,7475,31,59
cab,9972028,8545,325,550
cac,9976719,9403,481,710
cad,9890141,10589,138,255
cae,9997012,9095,124,256
caf,9925272,9392,66,185
cag,9729995,8334,69,120
